iter	Passed	Remaining
251	370	1100
252	371	1097
253	372	1095
254	373	1092
255	374	1089
256	376	1087
257	377	1085
258	379	1084
259	380	1082
260	381	1079
261	382	1076
262	383	1074
263	384	1072
264	385	1069
265	386	1067
266	388	1065
267	389	1063
268	390	1061
269	391	1059
270	393	1057
271	394	1056
272	395	1053
273	397	1052
274	398	1050
275	399	1048
276	400	1046
277	401	1043
278	403	1041
279	404	1040
280	406	1039
281	407	1037
282	408	1035
283	410	1033
284	411	1031
285	412	1029
286	413	1027
287	414	1025
288	415	1023
289	417	1021
290	418	1019
291	419	1017
292	420	1015
293	422	1013
294	423	1011
295	424	1009
296	425	1007
297	427	1006
298	428	1005
299	430	1003
300	431	1001
301	432	999
302	433	997
303	435	996
304	436	994
305	437	992
306	438	989
307	439	987
308	440	985
309	441	983
310	443	981
311	444	979
312	445	978
313	446	976
314	448	974
315	449	972
316	450	970
317	451	968
318	452	966
319	454	965
320	455	964
321	457	962
322	458	960
323	459	958
324	460	956
325	461	954
326	463	953
327	464	951
328	466	950
329	467	948
330	468	946
331	469	944
332	470	942
333	471	941
334	473	939
335	474	937
336	475	935
337	476	933
338	477	931
339	479	930
340	480	928
341	481	926
342	483	925
343	484	923
344	485	921
345	486	920
346	488	918
347	489	916
348	490	915
349	491	913
350	492	911
351	494	909
352	495	908
353	496	906
354	498	905
355	499	903
356	500	901
357	501	900
358	503	898
359	504	897
360	505	895
361	507	893
362	508	891
363	509	890
364	510	888
365	512	887
366	513	885
367	514	884
368	516	882
369	517	881
370	519	880
371	520	879
372	522	877
373	523	876
374	524	874
375	526	872
376	527	871
377	528	869
378	529	868
379	531	866
380	532	865
381	533	863
382	534	861
383	536	859
384	537	858
385	538	856
386	539	855
387	541	853
388	542	851
389	543	850
390	544	848
391	546	847
392	547	845
393	548	843
394	549	842
395	551	840
396	552	838
397	553	837
398	554	835
399	555	833
400	557	832
401	558	830
402	559	829
403	560	827
404	562	825
405	563	824
406	564	822
407	565	821
408	567	819
409	568	817
410	569	816
411	571	815
412	572	813
413	573	812
414	575	810
415	576	809
416	577	807
417	578	806
418	580	804
419	581	803
420	582	801
421	584	800
422	585	798
423	586	797
424	587	795
425	589	793
426	590	792
427	591	790
428	592	788
429	593	787
430	595	785
431	596	784
432	597	783
433	599	781
434	600	779
435	601	778
436	602	776
437	603	774
438	604	773
439	606	771
440	607	769
441	608	768
442	609	766
443	610	764
444	611	763
445	613	761
446	614	760
447	615	758
448	616	757
449	618	755
450	619	754
451	620	752
452	621	750
453	623	749
454	624	747
455	625	746
456	626	744
457	628	743
458	629	741
459	630	739
460	631	738
461	632	736
462	634	735
463	635	734
464	636	732
465	638	731
466	639	729
467	640	728
468	641	726
469	643	725
470	644	723
471	645	722
472	646	720
473	647	718
474	649	717
475	650	716
476	651	714
477	652	713
478	654	711
479	655	709
480	656	708
